day,task_id,price_milk,price_banana,price_bread,noise_milk,noise_banana,noise_bread,demand_milk,demand_banana,demand_bread,sales_milk,sales_banana,sales_bread,waste_milk,waste_banana,waste_bread,stockout_milk,stockout_banana,stockout_bread,profit,reward
0,hard_shock_supply_delay,40.0,20.0,24.0,1.074340080105888,0.9036544829874449,1.1118110806292358,859,271,445,850,271,445,0,0,0,9,0,0,10420.0,0.7873939393939393
1,hard_shock_supply_delay,40.0,21.6,25.92,1.0076100690306868,0.7536990764598803,1.1975740133974637,782,202,432,782,89,5,68,0,0,0,113,427,6106.0,0.2913525937339496
2,hard_shock_supply_delay,40.0,20.0,24.0,0.9825365708015513,1.1180257392021884,1.391844418314546,802,342,520,802,342,450,48,0,0,0,0,70,10474.0,0.7604159092664363
3,hard_shock_supply_delay,40.0,21.6,25.92,1.0495037096152535,0.8241486525424678,0.8846384801791934,882,240,346,850,18,0,0,0,0,32,222,346,6068.8,0.3113724713070762
4,hard_shock_supply_delay,40.0,20.0,24.0,1.2008489081664067,0.769343070060156,1.0485896484739816,900,249,453,850,249,450,0,0,0,50,0,3,10345.0,0.7667995119736692
5,hard_shock_supply_delay,40.0,21.6,25.92,1.0698811953369123,0.8129751048770115,1.0309363882036582,900,259,441,850,111,0,0,0,0,50,148,441,6682.6,0.36114299242424247
6,hard_shock_supply_delay,40.0,20.0,24.0,1.1053035402480342,0.8701390383247724,0.9171465315948302,900,287,404,850,287,404,0,0,0,50,0,0,10213.0,0.7573794164143002
7,hard_shock_supply_delay,40.0,21.6,25.92,1.1028297923592363,0.7915189821876684,0.8534845633971597,900,307,254,850,73,46,0,0,0,50,234,208,6842.12,0.395144614523054
8,hard_shock_supply_delay,43.2,21.6,25.92,1.1873174854880784,1.0155316157642957,0.7749870808828961,900,341,252,0,0,0,0,0,0,900,341,252,0.0,-0.35266666666666663
9,hard_shock_supply_delay,40.0,21.6,25.92,1.0020497402157171,1.4182478537873926,0.761573819867695,818,401,289,818,0,0,32,0,0,0,401,289,5726.0,0.2540341470564594
10,hard_shock_supply_delay,40.0,20.0,24.0,1.1581964430758844,1.1463378878121466,0.9686796970508283,900,361,407,850,360,407,0,0,0,50,1,0,10599.0,0.7869197732722913
11,hard_shock_supply_delay,40.0,21.6,25.92,1.1151075126765113,0.8857343875419575,1.320557769430481,900,265,520,850,0,43,0,0,0,50,265,477,6333.56,0.30997143242514164
12,hard_shock_supply_delay,40.0,20.0,24.0,1.362920034487598,0.8535066693772057,0.9622724092249181,900,294,443,850,294,443,0,0,0,50,0,0,10521.0,0.7810218341015532
13,hard_shock_supply_delay,40.0,21.6,25.92,1.0240229872937525,0.8935381077553531,1.0655447416878803,900,272,436,850,66,7,0,0,0,50,206,429,6448.04,0.3340562867480778
